Index,Store_ID,Day_of_week,Date,Nb_customers_on_day,Open,Promotion,State_holiday,School_holiday
617699,761,3,4/22/2015,955,1,0,0,0
522235,238,3,4/22/2015,1025,1,0,0,0
321177,198,3,4/22/2015,203,1,0,0,0
395430,606,3,4/22/2015,585,1,0,0,0
488260,382,3,4/22/2015,555,1,0,0,0
660006,309,3,4/22/2015,461,1,0,0,0
565896,747,3,4/22/2015,544,1,0,0,0
568252,624,3,4/22/2015,601,1,0,0,0
311079,282,4,4/23/2015,667,1,0,0,0
177315,719,4,4/23/2015,440,1,0,0,0
177667,1049,4,4/23/2015,613,1,0,0,0
12625,84,4,4/23/2015,1278,1,0,0,0
698379,268,4,4/23/2015,461,1,0,0,0
467295,243,4,4/23/2015,767,1,0,0,0
322426,292,4,4/23/2015,709,1,0,0,0
52183,253,4,4/23/2015,594,1,0,0,0
394190,650,4,4/23/2015,577,1,0,0,0
447000,1081,4,4/23/2015,539,1,0,0,0
210137,430,4,4/23/2015,591,1,0,0,0
706772,636,4,4/23/2015,556,1,0,0,0
439839,66,4,4/23/2015,491,1,0,0,0
479694,298,4,4/23/2015,567,1,0,0,0
210678,337,4,4/23/2015,335,1,0,0,0
442873,1089,4,4/23/2015,913,1,0,0,0
203020,616,4,4/23/2015,772,1,0,0,0
272526,594,4,4/23/2015,457,1,0,0,0
39061,565,4,4/23/2015,679,1,0,0,0
132706,120,4,4/23/2015,555,1,0,0,0
213617,6,4,4/23/2015,496,1,0,0,0
599327,352,4,4/23/2015,536,1,0,0,0
59523,338,4,4/23/2015,458,1,0,0,0
161349,335,4,4/23/2015,2196,1,0,0,0
80529,1111,4,4/23/2015,381,1,0,0,0
170040,962,4,4/23/2015,744,1,0,0,0
694536,793,4,4/23/2015,350,1,0,0,0
386353,200,4,4/23/2015,895,1,0,0,0
15888,9,4,4/23/2015,564,1,0,0,0
210889,1063,4,4/23/2015,466,1,0,0,0
527002,929,4,4/23/2015,635,1,0,0,0
579069,1085,4,4/23/2015,552,1,0,0,0
593762,409,4,4/23/2015,480,1,0,0,0
569669,901,4,4/23/2015,588,1,0,0,0
520296,56,4,4/23/2015,501,1,0,0,0
685861,542,4,4/23/2015,491,1,0,0,0
338502,678,4,4/23/2015,729,1,0,0,0
366614,738,4,4/23/2015,619,1,0,0,0
611704,44,4,4/23/2015,558,1,0,0,0
43778,62,4,4/23/2015,710,1,0,0,0
535421,591,4,4/23/2015,418,1,0,0,0
118983,404,4,4/23/2015,545,1,0,0,0
426728,882,4,4/23/2015,706,1,0,0,0
412520,831,4,4/23/2015,1396,1,0,0,0
601988,481,4,4/23/2015,442,1,0,0,0
591171,695,4,4/23/2015,496,1,0,0,0
426313,525,4,4/23/2015,743,1,0,0,0
484662,313,4,4/23/2015,559,1,0,0,0
2897,562,4,4/23/2015,2759,1,0,0,0
705938,173,4,4/23/2015,853,1,0,0,0
245802,779,4,4/23/2015,614,1,0,0,0
561263,904,4,4/23/2015,430,1,0,0,0
571974,787,4,4/23/2015,979,1,0,0,0
515647,131,4,4/23/2015,480,1,0,0,0
246775,751,4,4/23/2015,560,1,0,0,0
205126,210,4,4/23/2015,246,1,0,0,0
544667,823,4,4/23/2015,489,1,0,0,0
18351,1061,4,4/23/2015,523,1,0,0,0
320436,575,4,4/23/2015,427,1,0,0,0
380863,974,4,4/23/2015,1515,1,0,0,0
649619,691,4,4/23/2015,515,1,0,0,0
295337,833,4,4/23/2015,375,1,0,0,0
162261,166,4,4/23/2015,657,1,0,0,0
460938,60,4,4/23/2015,648,1,0,0,0
157305,907,4,4/23/2015,828,1,0,0,0
623452,802,4,4/23/2015,396,1,0,0,0
116094,537,4,4/23/2015,628,1,0,0,0
111042,505,4,4/23/2015,465,1,0,0,0
524109,1088,4,4/23/2015,513,1,0,0,0
281977,171,4,4/23/2015,728,1,0,0,0
91095,23,4,4/23/2015,407,1,0,0,0
82356,266,4,4/23/2015,518,1,0,0,0
569630,425,4,4/23/2015,464,1,0,0,0
375513,85,4,4/23/2015,693,1,0,0,0
525506,732,4,4/23/2015,501,1,0,0,0
688404,257,4,4/23/2015,572,1,0,0,0
674694,612,4,4/23/2015,371,1,0,0,0
263810,788,4,4/23/2015,1611,1,0,0,0
129917,529,4,4/23/2015,713,1,0,0,0
379601,427,4,4/23/2015,673,1,0,0,0
171764,1033,4,4/23/2015,1153,1,0,0,0
550300,491,4,4/23/2015,384,1,0,0,0
571963,919,4,4/23/2015,606,1,0,0,0
494954,994,4,4/23/2015,409,1,0,0,0
369033,854,4,4/23/2015,480,1,0,0,0
159996,856,4,4/23/2015,789,1,0,0,0
671613,382,4,4/23/2015,533,1,0,0,0
622417,255,4,4/23/2015,564,1,0,0,0
31550,136,4,4/23/2015,320,1,0,0,0
536758,714,4,4/23/2015,276,1,0,0,0
181456,479,4,4/23/2015,1195,1,0,0,0
681562,434,4,4/23/2015,675,1,0,0,0
707759,219,4,4/23/2015,378,1,0,0,0
273042,295,4,4/23/2015,652,1,0,0,0
542045,343,4,4/23/2015,610,1,0,0,0
703234,165,4,4/23/2015,374,1,0,0,0
192377,701,4,4/23/2015,504,1,0,0,0
705235,599,4,4/23/2015,604,1,0,0,0
177792,1062,4,4/23/2015,491,1,0,0,0
474726,40,4,4/23/2015,539,1,0,0,0
434806,148,4,4/23/2015,764,1,0,0,0
478739,850,4,4/23/2015,515,1,0,0,0
622536,945,4,4/23/2015,538,1,0,0,0
644278,937,4,4/23/2015,588,1,0,0,0
265223,50,4,4/23/2015,306,1,0,0,0
497832,1052,4,4/23/2015,674,1,0,0,0
17749,665,4,4/23/2015,1200,1,0,0,0
599141,272,4,4/23/2015,519,1,0,0,0
410144,766,4,4/23/2015,514,1,0,0,0
373095,143,4,4/23/2015,459,1,0,0,0
92062,67,4,4/23/2015,754,1,0,0,0
379979,188,4,4/23/2015,373,1,0,0,0
198469,195,4,4/23/2015,1134,1,0,0,0
468824,888,4,4/23/2015,700,1,0,0,0
616872,79,4,4/23/2015,510,1,0,0,0
116251,653,4,4/23/2015,440,1,0,0,0
157336,439,4,4/23/2015,700,1,0,0,0
245307,466,4,4/23/2015,711,1,0,0,0
627629,284,4,4/23/2015,343,1,0,0,0
262271,1067,4,4/23/2015,432,1,0,0,0
131641,115,4,4/23/2015,455,1,0,0,0
641961,853,4,4/23/2015,917,1,0,0,0
437730,3,4,4/23/2015,677,1,0,0,0
588717,1034,4,4/23/2015,649,1,0,0,0
629279,287,4,4/23/2015,727,1,0,0,0
210276,507,4,4/23/2015,567,1,0,0,0
613092,59,4,4/23/2015,496,1,0,0,0
660015,581,4,4/23/2015,523,1,0,0,0
477989,220,4,4/23/2015,576,1,0,0,0
184235,658,4,4/23/2015,545,1,0,0,0
126452,112,4,4/23/2015,683,1,0,0,0
299024,895,4,4/23/2015,832,1,0,0,0
693506,784,4,4/23/2015,597,1,0,0,0
251238,349,4,4/23/2015,807,1,0,0,0
528219,1000,4,4/23/2015,580,1,0,0,0
435204,679,4,4/23/2015,902,1,0,0,0
447043,1018,4,4/23/2015,936,1,0,0,0
478192,130,4,4/23/2015,514,1,0,0,0
385530,584,4,4/23/2015,381,1,0,0,0
281777,871,4,4/23/2015,438,1,0,0,0
380954,677,4,4/23/2015,464,1,0,0,0
628706,896,4,4/23/2015,960,1,0,0,0
11175,902,4,4/23/2015,593,1,0,0,0
